open,close,min,max,volume,timestamp
9426.61000000,9419.36000000,9311.02000000,9438.71000000,8924.12424700,1592136000000
9419.36000000,9394.04000000,9366.66000000,9431.74000000,3253.11812800,1592150400000
9394.05000000,9342.10000000,9245.00000000,9409.88000000,8221.09336300,1592164800000
9342.10000000,9163.99000000,9122.00000000,9370.81000000,11307.94824000,1592179200000
9164.09000000,9123.30000000,8910.45000000,9225.85000000,25068.64404300,1592193600000
9123.30000000,9117.69000000,9068.00000000,9165.00000000,10273.02373100,1592208000000
9117.69000000,9298.00000000,9043.19000000,9310.96000000,15418.23443600,1592222400000
9298.01000000,9418.57000000,9281.81000000,9450.00000000,14424.86377100,1592236800000
9418.57000000,9426.02000000,9392.18000000,9495.00000000,9615.21048600,1592251200000
9426.05000000,9562.51000000,9373.09000000,9582.05000000,11045.97405600,1592265600000
9562.52000000,9504.09000000,9455.00000000,9577.33000000,8654.04594600,1592280000000
9504.10000000,9509.94000000,9464.01000000,9543.47000000,7238.62880600,1592294400000
9509.17000000,9452.62000000,9400.00000000,9589.00000000,14679.98849200,1592308800000
9452.18000000,9507.52000000,9430.00000000,9512.31000000,6287.15173600,1592323200000
9507.87000000,9525.59000000,9478.61000000,9537.50000000,4146.65789100,1592337600000
9526.97000000,9460.37000000,9420.00000000,9535.43000000,5688.12901200,1592352000000
9460.36000000,9513.00000000,9435.00000000,9534.00000000,5745.47558000,1592366400000
9513.00000000,9478.61000000,9466.00000000,9525.00000000,5214.39228900,1592380800000
9478.61000000,9399.24000000,9366.09000000,9565.00000000,12401.46574100,1592395200000
9399.20000000,9300.83000000,9298.40000000,9430.04000000,9997.84391600,1592409600000
9302.13000000,9465.14000000,9236.61000000,9473.33000000,8999.10461400,1592424000000
9465.13000000,9431.28000000,9401.41000000,9471.39000000,4100.74456400,1592438400000
9431.48000000,9440.34000000,9407.12000000,9455.00000000,4211.34314300,1592452800000
9440.82000000,9432.67000000,9380.00000000,9489.00000000,6599.56447500,1592467200000
9432.67000000,9385.99000000,9381.00000000,9445.00000000,7578.08594900,1592481600000
9385.99000000,9397.99000000,9335.50000000,9419.64000000,7027.65968900,1592496000000
9397.99000000,9386.32000000,9280.00000000,9416.65000000,7864.55594500,1592510400000
9386.32000000,9274.26000000,9215.79000000,9388.71000000,9716.71301900,1592524800000
9274.27000000,9299.52000000,9257.30000000,9335.02000000,6459.09966200,1592539200000
9299.53000000,9385.84000000,9274.20000000,9438.30000000,9048.22237400,1592553600000
9385.84000000,9383.32000000,9346.27000000,9423.00000000,6807.97209900,1592568000000
9383.35000000,9307.37000000,9267.81000000,9386.83000000,7697.82001400,1592582400000
9307.36000000,9310.23000000,9260.00000000,9354.40000000,5601.15650500,1592596800000
9310.23000000,9330.65000000,9286.97000000,9350.00000000,3754.55620300,1592611200000
